Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
1,201903200,boxscore,OAK,SEA,L,7,9,,0-1,5, 1.0,Gonzales,Fiers,Strickland,3:24,N,"45,787",-,,True,Jeff Nelson,Tripp Gibson,Lance Barksdale,Mike Muchlinski,72° F,0mph,In Dome,6:36 p.m. Local,Oakland-Alameda County Coliseum,grass,0,2019
2,201903210,boxscore,OAK,SEA,L,4,5,12,0-2,5, 2.0,Rosscup,Buchter,Strickland,4:27,N,"46,451",--,,True,Bill Welke,Lance Barksdale,Mike Muchlinski,Jeff Nelson,70° F,0mph,In Dome,6:35 p.m. Local,Oakland-Alameda County Coliseum,grass,1,2019
1,201903280,boxscore,LAD,ARI,W,12,5,,1-0,1, Tied,Ryu,Greinke,,2:49,D,"53,086",+,,True,Brian Gorman,Scott Barry,Tripp Gibson,Nic Lentz,69° F,7mph out to Centerfield,Cloudy,1:12 p.m. Local,Dodger Stadium,grass,2,2019
1,201903280,boxscore,KCR,CHW,W,5,3,,1-0,1, Tied,Keller,Rodon,Boxberger,3:12,D,"31,675",+,,True,Jerry Meals,Ron Kulpa,Marty Foster,Gabe Morales,55° F,11mph out to Centerfield,Cloudy,5:01 p.m. Local,Kauffman Stadium,grass,3,2019
1,201903280,boxscore,CIN,PIT,W,5,3,,1-0,1, Tied,Duke,Taillon,Hernandez,2:54,D,"44,049",+,,True,Joe West,Eric Cooper,Andy Fletcher,Will Little,70° F,15mph from Right to Left,Cloudy,4:11 p.m. Local,Great American Ball Park,grass,4,2019
1,201903280,boxscore,MIA,COL,L,3,6,,0-1,3, 1.0,Freeland,Urena,,2:55,D,"25,423",-,,True,Gerry Davis,Greg Gibson,Brian Knight,Pat Hoberg,71° F,0mph,In Dome,4:12 p.m. Local,Marlins Park,grass,5,2019
1,201903280,boxscore,MIN,CLE,W,2,0,,1-0,1, Tied,Berrios,Kluber,Rogers,2:18,D,"39,519",+,,True,Tom Hallion,Phil Cuzzi,Todd Tichenor,Adam Hamari,49° F,14mph out to Rightfield,Cloudy,3:17 p.m. Local,Target Field,grass,6,2019
1,201903280,boxscore,NYY,BAL,W,7,2,,1-0,1,up 1.0,Tanaka,Cashner,,3:06,D,"46,928",+,,True,Fieldin Culbreth,Paul Nauert,CB Bucknor,D.J. Reyburn,48° F,12mph from Right to Left,Sunny,1:12 p.m. Local,Yankee Stadium III,grass,7,2019
3,201903280,boxscore,OAK,LAA,W,4,0,,1-2,3, 2.0,Fiers,Cahill,,2:18,D,"22,691",+,,True,Mike Everitt,Bill Welke,Chris Guccione,Lance Barrett,61° F,16mph out to Rightfield,Cloudy,1:10 p.m. Local,Oakland-Alameda County Coliseum,grass,8,2019
1,201903280,boxscore,PHI,ATL,W,10,4,,1-0,1, Tied,Nola,Teheran,,3:04,D,"44,469",+,,True,Mike Winters,Tim Timmons,Rob Drake,Mike Muchlinski,58° F,5mph from Left to Right,Cloudy,3:08 p.m. Local,Citizens Bank Park,grass,9,2019
