,Game,BatPos,Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details,Name,Date,HomeGame
0,0,0,Brandon Nimmo LF,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.25,0.0,0.25,16.0,11.0,-0.069,0.9,0.012,-0.082,-0.7,0.0,0.0,,Brandon_Nimmo,201903280,False
1,0,1,Pete Alonso 1B,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.25,0.25,0.25,0.5,21.0,15.0,-0.039,0.79,0.021,-0.06,-0.4,1.0,0.0,,Pete_Alonso,201903280,False
2,0,3,Robinson Cano 2B,4.0,1.0,2.0,2.0,0.0,0.0,4.0,0.5,0.5,1.25,1.75,12.0,10.0,0.18,0.92,0.218,-0.038,1.6,2.0,1.0,HR,Robinson_Cano,201903280,False
3,0,4,Michael Conforto RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,19.0,13.0,-0.083,0.79,0.0,-0.083,-1.0,1.0,0.0,,Michael_Conforto,201903280,False
4,0,7,Wilson Ramos C,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.25,0.25,0.25,0.5,9.0,8.0,-0.039,0.6,0.013,-0.052,-0.6,14.0,1.0,,Wilson_Ramos,201903280,False
5,0,8,Jeff McNeil 3B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.25,0.0,0.25,13.0,7.0,-0.034,0.57,0.015,-0.048,-0.5,2.0,1.0,,Jeff_McNeil,201903280,False
6,0,9,Amed Rosario SS,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.25,0.25,0.25,0.5,20.0,14.0,-0.071,0.57,0.005,-0.076,-0.8,2.0,2.0,CS,Amed_Rosario,201903280,False
7,0,10,Juan Lagares CF,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,7.0,-0.068,0.86,0.0,-0.068,-0.7,3.0,0.0,,Juan_Lagares,201903280,False
8,0,11,Jacob deGrom P,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,-0.03,0.57,0.0,-0.03,-0.3,0.0,0.0,,Jacob_deGrom,201903280,False
9,0,14,Team Totals,31.0,2.0,5.0,2.0,3.0,12.0,34.0,0.161,0.235,0.258,0.493,135.0,93.0,-0.227,0.73,0.31,-0.537,-3.1,27.0,5.0,,Team_Totals,201903280,False
